Order_Id,Quantity,Item_Name,Item_Price,Choice_Description_1,Choice_Description_2,Choice_Description_3,Choice_Description_4,Choice_Description_5,Choice_Description_6,Choice_Description_7,Choice_Description_8,Choice_Description_9,Choice_Description_10,Item_price,Encoded_Item
327,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce,,,,10.1,18
327,1,Veggie Burrito,9.84,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Sour Cream, Guacamole, Lettuce,,,,,9.84,45
328,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, Roasted Chili Corn Salsa Medium, Rice, Sour Cream, Guacamole, Lettuce,,,,,10.13,17
328,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
329,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.1,18
329,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
330,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
330,1,Barbacoa Bowl,10.22,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.22,1
331,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese,,,,,10.22,1
331,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese,,,,,10.13,17
332,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Sour Cream, Lettuce,,,,,,10.46,39
332,1,Canned Soda,1.33,Mountain Dew,,,,,,,,,,1.33,9
333,1,Steak Burrito,10.46,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Lettuce,,,,,,10.46,39
333,1,Chips and Tomatillo Green Chili Salsa,3.09,None,,,,,,,,,,3.09,29
334,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.1,18
334,1,Steak Burrito,10.46,Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.46,39
335,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
335,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Cheese, Rice, Pinto Beans, Sour Cream,,,,,,9.84,45
336,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.1,18
336,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
337,2,Chicken Salad Bowl,22.34,Tomatillo Green Chili Salsa, Black Beans, Cheese, Guacamole,,,,,,,22.34,21
338,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Fresh Tomato Salsa Mild, Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole,,,10.13,17
338,3,Bottled Water,5.51,None,,,,,,,,,,5.51,6
338,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
338,1,Carnitas Soft Tacos,9.4,Fresh Tomato Salsa Mild, Rice, Pinto Beans, Cheese, Sour Cream,,,,,,9.4,16
338,1,Canned Soda,1.33,Coca Cola,,,,,,,,,,1.33,9
339,1,Carnitas Bowl,10.83,Fresh Tomato Mild, Guacamole, Sour Cream, Cheese,,,,,,,10.83,11
340,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.1,18
340,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
341,1,Steak Bowl,10.73,Fresh Tomato Mild, Guacamole, Lettuce, Pinto Beans, Rice, Sour Cream, Cheese,,,,10.73,38
342,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
342,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Cheese, Pinto Beans, Sour Cream, Rice,,,,,,9.84,45
343,2,Chips,4.7,None,,,,,,,,,,4.7,23
343,1,Barbacoa Crispy Tacos,10.93,Roasted Chili Corn Salsa, Fajita Vegetables, Black Beans, Cheese,,,,,,,10.93,3
343,1,Chicken Crispy Tacos,10.05,Fresh Tomato Salsa, Rice, Cheese, Lettuce,,,,,,,10.05,19
343,1,Veggie Bowl,10.21,Roasted Chili Corn Salsa, Black Beans, Cheese, Sour Cream, Guacamole,,,,,,10.21,44
343,1,Veggie Bowl,10.21,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,10.21,44
343,1,Carnitas Bowl,10.83,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.83,11
344,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Black Beans, Rice, Fajita Veggies, Sour Cream,,,,,,10.1,18
344,1,Carnitas Burrito,10.13,Fresh Tomato Salsa Mild, Pinto Beans, Rice, Fajita Veggies, Sour Cream,,,,,,10.13,12
344,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Pinto Beans, Rice, Sour Cream,,,,,,,10.1,18
345,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.13,17
345,1,Chips and Tomatillo Red Chili Salsa,3.08,None,,,,,,,,,,3.08,30
345,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
346,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Rice, Cheese, Lettuce,,,,,,,10.22,1
346,1,Chips and Roasted Chili Corn Salsa,3.08,None,,,,,,,,,,3.08,27
346,1,Steak Bowl,10.73,Tomatillo Green Chili Salsa,,,,,,,,,,10.73,38
346,1,Veggie Bowl,10.21,Roasted Chili Corn Salsa, Fajita Vegetables,,,,,,,,,10.21,44
347,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Guacamole,,,,,,,,10.13,17
347,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
348,2,Veggie Bowl,20.42,Fresh Tomato Salsa Mild, Rice, Sour Cream, Cheese, Pinto Beans,,,,,,20.42,44
349,1,Veggie Burrito,9.84,TomatilloGreen Chili Salsa Medium, Black Beans, Rice, Cheese,,,,,,,9.84,45
349,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
350,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,10.13,17
350,3,Canned Soft Drink,4.42,Sprite,,,,,,,,,,4.42,10
351,1,Carnitas Bowl,10.83,Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Lettuce,,,,,,10.83,11
351,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
352,1,Barbacoa Burrito,9.85,Roasted Chili Corn Salsa, Rice, Pinto Beans, Sour Cream, Cheese,,,,,,9.85,2
352,1,Barbacoa Burrito,9.85,Roasted Chili Corn Salsa, Rice, Black Beans, Sour Cream, Cheese,,,,,,9.85,2
352,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
353,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Sour Cream, Lettuce,,,,,,10.1,18
353,1,Barbacoa Soft Tacos,10.02,Tomatillo Red Chili Salsa, Rice, Pinto Beans, Cheese, Sour Cream,,,,,,10.02,5
354,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Lettuce,,,,,,10.1,18
354,1,Barbacoa Burrito,9.85,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce,,,,,9.85,2
355,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce,,,,,10.46,39
355,1,Steak Burrito,10.46,Tomatillo Green Chili Salsa, Rice, Fajita Vegetables, Black Beans, Cheese,,,,,,10.46,39
356,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Fajita Veggies, Sour Cream, Guacamole, Lettuce,,,,,10.46,39
356,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Sour Cream, Lettuce,,,,,,,10.46,39
357,2,Chicken Salad Bowl,22.34,Fresh Tomato Salsa, Black Beans, Cheese, Guacamole,,,,,,,22.34,21
358,1,Carnitas Burrito,10.13,Roasted Chili Corn Salsa, Cheese, Rice, Guacamole,,,,,,,10.13,12
358,1,Chicken Crispy Tacos,10.05,Roasted Chili Corn Salsa, Rice, Cheese, Guacamole,,,,,,,10.05,19
358,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
359,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Pinto Beans, Sour Cream, Lettuce,,,,,,10.13,17
359,1,Chips,2.35,None,,,,,,,,,,2.35,23
359,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
360,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,10.13,17
360,1,Chicken Soft Tacos,9.66,Fresh Tomato Salsa, Rice, Black Beans, Cheese,,,,,,,9.66,22
360,1,Canned Soft Drink,1.47,Sprite,,,,,,,,,,1.47,10
361,1,Veggie Burrito,9.84,Fresh Tomato Salsa, Rice, Black Beans, Sour Cream, Guacamole,,,,,,9.84,45
361,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
362,1,Chicken Soft Tacos,9.66,Fresh Tomato Salsa, Cheese, Sour Cream, Guacamole, Lettuce,,,,,,9.66,22
362,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole,,,,,,10.13,17
363,1,Barbacoa Burrito,9.85,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream,,,,,,9.85,2
363,1,6 Pack Soft Drink,6.61,Coke,,,,,,,,,,6.61,0
363,2,Chips and Guacamole,9.2,None,,,,,,,,,,9.2,25
364,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
364,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
365,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole,,,,,,9.66,22
365,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
366,2,Chicken Crispy Tacos,20.09,Tomatillo Red Chili Salsa,,,,,,,,,,20.09,19
366,1,Steak Burrito,10.46,Tomatillo Red Chili Salsa,,,,,,,,,,10.46,39
367,1,Veggie Bowl,10.21,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,10.21,44
367,1,Barbacoa Burrito,9.85,Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,,,9.85,2
367,2,Bottled Water,3.67,None,,,,,,,,,,3.67,6
368,1,Chicken Bowl,10.13,TomatilloRed Chili Salsa Hot, Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,10.13,17
368,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,9.84,45
369,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, Rice, Fajita Veggies, Sour Cream, Guacamole,,,,,,10.13,17
369,1,Steak Salad,8.91,Fresh Tomato Salsa Mild, Rice, Cheese, Sour Cream, Lettuce,,,,,,8.91,41
369,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
370,1,Chicken Burrito,10.1,Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.1,18
370,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
371,1,Steak Burrito,10.46,Fresh Tomato Salsa Mild, Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Sour Cream,,,,,10.46,39
371,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
372,1,Steak Bowl,10.73,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.73,38
372,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Cheese, Sour Cream,,,,,,,10.13,17
373,1,Veggie Bowl,10.21,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,10.21,44
373,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
374,1,Barbacoa Burrito,9.85,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce,,,,9.85,2
374,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
375,1,Steak Bowl,10.73,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole,,,,,10.73,38
375,1,Chips and Roasted Chili Corn Salsa,3.08,None,,,,,,,,,,3.08,27
376,2,Canned Soda,2.66,Mountain Dew,,,,,,,,,,2.66,9
377,2,Steak Bowl,21.45,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Cheese,,,,,,,21.45,38
377,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Cheese,,,,,,,10.46,39
378,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.1,18
378,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
379,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.46,39
379,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.13,17
379,1,Chips and Tomatillo Green Chili Salsa,3.09,None,,,,,,,,,,3.09,29
379,3,Canned Soft Drink,4.42,Lemonade,,,,,,,,,,4.42,10
379,1,Steak Crispy Tacos,10.21,Roasted Chili Corn Salsa, Cheese, Sour Cream, Lettuce,,,,,,,10.21,40
380,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,,10.22,1
380,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
380,1,Chips,2.35,None,,,,,,,,,,2.35,23
380,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
381,1,Nantucket Nectar,3.64,Pomegranate Cherry,,,,,,,,,,3.64,35
382,1,Steak Bowl,10.73,Fresh Tomato Mild, Lettuce, Black Beans, Rice, Cheese,,,,,,10.73,38
382,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
383,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
383,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
384,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.13,17
384,1,Veggie Burrito,9.84,Fresh Tomato Salsa, Rice, Black Beans, Guacamole, Lettuce,,,,,,9.84,45
384,1,Chips,2.35,None,,,,,,,,,,2.35,23
384,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce,,,,,10.13,17
385,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, Pinto Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.13,17
385,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
386,1,Veggie Bowl,10.21,TomatilloRed Chili Salsa Hot, Pinto Beans, Black Beans, Rice, Fajita Veggies, Cheese,,,,,10.21,44
386,1,Chicken Bowl,10.13,TomatilloRed Chili Salsa Hot, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,,10.13,17
387,1,Canned Soft Drink,1.47,Lemonade,,,,,,,,,,1.47,10
387,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce,,,,,10.1,18
387,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Cheese, Lettuce, Guacamole,,,,,10.46,39
387,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Sour Cream, Lettuce, Guacamole,,,,,10.46,39
388,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.46,39
388,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
389,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Sour Cream,,,,,,10.13,17
389,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
389,1,Chicken Crispy Tacos,10.05,Fresh Tomato Salsa, Lettuce,,,,,,,,,10.05,19
389,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
389,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream,,,,,10.13,17
389,1,Chips,2.35,None,,,,,,,,,,2.35,23
390,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
390,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.1,18
391,1,Steak Bowl,10.73,Fresh Tomato Salsa Mild, Roasted Chili Corn Salsa Medium, Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,10.73,38
391,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
392,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese,,,,,,,10.1,18
392,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
392,1,Canned Soda,1.33,Coca Cola,,,,,,,,,,1.33,9
393,1,Steak Burrito,10.46,Fresh Tomato Salsa Mild, Pinto Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.46,39
393,1,Canned Soda,1.33,Sprite,,,,,,,,,,1.33,9
394,1,Carnitas Burrito,10.13,Fresh Tomato Salsa, Rice, Pinto Beans, Cheese,,,,,,,10.13,12
394,1,Veggie Salad Bowl,10.14,Fresh Tomato Salsa, Fajita Vegetables, Lettuce,,,,,,,,10.14,48
395,1,Steak Soft Tacos,9.75,TomatilloRed Chili Salsa Hot, Cheese, Sour Cream, Lettuce,,,,,,,9.75,43
395,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
396,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
396,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
396,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Fajita Vegetables, Sour Cream, Cheese, Guacamole,,,,,,10.1,18
396,1,Chicken Soft Tacos,9.66,Fresh Tomato Salsa, Sour Cream, Cheese, Guacamole,,,,,,,9.66,22
397,1,Steak Burrito,10.46,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.46,39
397,1,Steak Soft Tacos,9.75,Fresh Tomato Salsa, Cheese, Sour Cream,,,,,,,,9.75,43
398,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole,,,,,9.66,22
398,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
399,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
399,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Rice, Pinto Beans, Cheese, Sour Cream,,,,,,9.84,45
400,1,Veggie Burrito,9.84,Tomatillo Green Chili Salsa, Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole,,,9.84,45
400,1,Carnitas Burrito,10.13,Tomatillo Red Chili Salsa,,,,,,,,,,10.13,12
400,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Lettuce, Guacamole,,,,,10.13,17
401,2,Chicken Bowl,20.27,Fresh Tomato Salsa, Fajita Vegetables, Rice, Lettuce,,,,,,,20.27,17
402,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Lettuce,,,,,,10.13,17
402,2,Chips and Guacamole,9.2,None,,,,,,,,,,9.2,25
402,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,10.13,17
402,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,10.13,17
403,1,Barbacoa Burrito,9.85,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Cheese, Sour Cream,,,,,,9.85,2
403,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
404,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce,,,,10.1,18
404,1,Carnitas Bowl,10.83,Fresh Tomato Salsa, Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,10.83,11
404,1,Chips,2.35,None,,,,,,,,,,2.35,23
405,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Cheese, Guacamole,,,,,,10.1,18
405,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
406,1,Barbacoa Soft Tacos,10.02,Tomatillo Red Chili Salsa, Black Beans, Cheese, Sour Cream, Guacamole,,,,,,10.02,5
406,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
407,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,10.1,18
407,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,10.46,39
408,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
408,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,10.13,17
408,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole,,,10.13,17
409,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream,,,,,10.13,17
409,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Sour Cream, Guacamole,,,,,,10.13,17
410,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa, Rice, Black Beans,,,,,,,,10.1,18
410,1,Canned Soft Drink,1.47,Diet Coke,,,,,,,,,,1.47,10
410,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Black Beans, Lettuce,,,,,,,,9.66,22
411,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Rice, Cheese,,,,,,,,10.13,17
411,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.13,17
412,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Sour Cream, Cheese, Lettuce,,,,,,10.13,17
412,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
413,1,Chicken Crispy Tacos,10.05,Fresh Tomato Salsa, Cheese, Sour Cream, Guacamole, Lettuce,,,,,,10.05,19
413,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
413,1,Carnitas Crispy Tacos,11.14,Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,11.14,13
414,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, TomatilloGreen Chili Salsa Medium, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream,,,,10.1,18
414,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
415,1,Steak Bowl,10.73,Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.73,38
415,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
416,1,Steak Burrito,10.46,Tomatillo Red Chili Salsa,,,,,,,,,,10.46,39
416,1,Chicken Bowl,10.13,Fresh Tomato Salsa,,,,,,,,,,10.13,17
417,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Rice, Cheese, Sour Cream,,,,,,,10.46,39
417,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
418,2,Chicken Bowl,20.27,Fresh Tomato Salsa, Rice, Cheese, Black Beans,,,,,,,20.27,17
419,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
419,1,Barbacoa Crispy Tacos,10.93,TomatilloRed Chili Salsa Hot, Black Beans, Cheese, Sour Cream, Lettuce,,,,,,10.93,3
419,1,Steak Crispy Tacos,10.21,TomatilloRed Chili Salsa Hot, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,,,10.21,40
420,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Black Beans, Pinto Beans, Cheese, Guacamole, Lettuce,,,,,10.1,18
420,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
421,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
421,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
422,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Rice, Pinto Beans, Cheese, Lettuce,,,,,,10.46,39
422,1,6 Pack Soft Drink,6.61,Sprite,,,,,,,,,,6.61,0
423,1,Chicken Crispy Tacos,10.05,Fresh Tomato Salsa Mild, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,,,10.05,19
423,1,Chicken Burrito,10.1,Fresh Tomato Salsa Mild, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.1,18
424,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Roasted Chili Corn Salsa Medium, Black Beans, Rice, Cheese,,,,,,10.1,18
424,1,Canned Soda,1.33,Diet Dr Pepper,,,,,,,,,,1.33,9
424,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
425,1,Barbacoa Bowl,10.22,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream,,,,,,10.22,1
425,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
426,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.13,17
426,1,Canned Soft Drink,1.47,Coke,,,,,,,,,,1.47,10
426,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
427,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
427,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Pinto Beans, Rice, Sour Cream, Cheese,,,,,,9.84,45
428,1,Steak Bowl,10.73,Roasted Chili Corn Salsa, Rice, Black Beans, Lettuce, Guacamole,,,,,,10.73,38
428,1,Steak Bowl,10.73,Fresh Tomato Salsa, Rice, Fajita Vegetables, Black Beans, Guacamole,,,,,,10.73,38
428,1,Chips,2.35,None,,,,,,,,,,2.35,23
429,1,Steak Bowl,10.73,Roasted Chili Corn Salsa Medium, Pinto Beans, Rice, Guacamole,,,,,,,10.73,38
430,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice,,,,,,,,10.13,17
